20180727230827,10.0.0.1,5001,10.0.0.3,5001,4,0.0-10.0,1915704,1532563
20180727230832,10.0.0.1,5001,10.0.0.3,5001,4,10.0-20.0,6308936,5047148
20180727230847,10.0.0.1,5001,10.0.0.4,5001,5,0.0-10.0,7890152,6312121
20180727230847,10.0.0.1,5001,10.0.0.4,5001,5,10.0-20.0,0,0
20180727230847,10.0.0.1,5001,10.0.0.4,5001,5,20.0-30.0,0,0
20180727230848,10.0.0.1,5001,10.0.0.3,5001,4,20.0-30.0,3192840,2554272
20180727230852,10.0.0.1,5001,10.0.0.3,5001,4,30.0-40.0,4416400,3533120
20180727230903,10.0.0.1,5001,10.0.0.3,5001,4,40.0-50.0,4490248,3592198
20180727230912,10.0.0.1,5001,10.0.0.3,5001,4,50.0-60.0,11523184,9218547
20180727230913,10.0.0.1,5001,10.0.0.3,5001,4,0.0-60.3,32243712,4275577
20180727230917,10.0.0.1,5001,10.0.0.4,5001,5,30.0-40.0,1424832,1139865
20180727230917,10.0.0.1,5001,10.0.0.4,5001,5,40.0-50.0,0,0
20180727230917,10.0.0.1,5001,10.0.0.4,5001,5,50.0-60.0,0,0
20180727230917,10.0.0.1,5001,10.0.0.4,5001,5,0.0-63.0,9568256,1215692
